revenue,month,year,product_id
2598592,10,2016,1
6362269,11,2016,1
6140621,12,2016,1
4776972,1,2016,1
2046985,2,2016,1
1653483,3,2016,1
3851299,4,2016,1
258726,5,2017,1
1328482,6,2017,1
3275084,7,2017,1
5334627,8,2017,1
1590117,9,2017,1
2994036,10,2017,1
1984363,11,2017,1
1293963,12,2017,1
2410509,1,2017,1
8903136,2,2017,1
7015217,3,2017,1
4982679,4,2017,1
2225916,5,2018,1
5839924,6,2018,1
4218586,7,2018,1
2198513,8,2018,1
8537466,9,2018,1
4600374,10,2018,1
3094841,11,2018,1
667462,12,2018,1
5489479,1,2018,1
1483887,2,2018,1
6625081,3,2018,1
150212,4,2018,1
954246,5,2019,1
3790139,6,2019,1
2252582,7,2019,1
3491362,8,2019,1
2011996,9,2019,1
5036041,10,2016,20
4521428,11,2016,20
2027930,12,2016,20
5310576,1,2016,20
1245396,2,2016,20
1822198,3,2016,20
971733,4,2016,20
1571607,5,2017,20
2545948,6,2017,20
4938415,7,2017,20
3829793,8,2017,20
7017907,9,2017,20
2809244,10,2017,20
1690510,11,2017,20
3947478,12,2017,20
3973094,1,2017,20
4346807,2,2017,20
4277610,3,2017,20
6311397,4,2017,20
7036446,5,2018,20
6909245,6,2018,20
5199036,7,2018,20
2534010,8,2018,20
4856071,9,2018,20
4573857,10,2018,20
5721194,11,2018,20
2506590,12,2018,20
988360,1,2018,20
2860396,2,2018,20
3627271,3,2018,20
2184025,4,2018,20
3605686,5,2019,20
8203572,6,2019,20
969804,7,2019,20
3083340,8,2019,20
4864977,9,2019,20
2009858,10,2016,20
6390382,11,2016,20
1860116,12,2016,20
3202233,1,2016,20
3398793,2,2016,20
6448194,3,2016,20
1325011,4,2016,20
3038667,5,2017,20
1013600,6,2017,20
6001595,7,2017,20
8295316,8,2017,20
418936,9,2017,20
4622757,10,2017,20
7008917,11,2017,20
6491678,12,2017,20
2326878,1,2017,20
2669518,2,2017,20
5910121,3,2017,20
6391961,4,2017,20
6476499,5,2018,20
4725740,6,2018,20
4116915,7,2018,20
1315307,8,2018,20
3404869,9,2018,20
3875867,10,2018,20
835579,11,2018,20
4801530,12,2018,20
3889718,1,2018,20
1289891,2,2018,20
5251892,3,2018,20
1886308,4,2018,20
4070608,5,2019,20
2412685,6,2019,20
5269412,7,2019,20
3448306,8,2019,20
1877199,9,2019,20
5515098,10,2016,21
5380606,11,2016,21
1418670,12,2016,21
6916262,1,2016,21
651387,2,2016,21
7186288,3,2016,21
8531516,4,2016,21
1608922,5,2017,21
2712692,6,2017,21
1299676,7,2017,21
494003,8,2017,21
5961094,9,2017,21
2402475,10,2017,21
4039725,11,2017,21
3738440,12,2017,21
3711231,1,2017,21
798499,2,2017,21
2126168,3,2017,21
1033142,4,2017,21
1603661,5,2018,21
5501783,6,2018,21
7419086,7,2018,21
628889,8,2018,21
4819313,9,2018,21
759495,10,2018,21
1215873,11,2018,21
6405514,12,2018,21
2181739,1,2018,21
5525475,2,2018,21
3638291,3,2018,21
4521383,4,2018,21
1732121,5,2019,21
4950227,6,2019,21
1259794,7,2019,21
5426351,8,2019,21
832403,9,2019,21
1542431,10,2016,23
5289243,11,2016,23
8309438,12,2016,23
5230711,1,2016,23
518275,2,2016,23
153581,3,2016,23
7320060,4,2016,23
5690595,5,2017,23
1908501,6,2017,23
2329164,7,2017,23
5049452,8,2017,23
3137696,9,2017,23
6505676,10,2017,23
7763686,11,2017,23
106823,12,2017,23
3585339,1,2017,23
1825542,2,2017,23
3584321,3,2017,23
5924062,4,2017,23
5137166,5,2018,23
3612746,6,2018,23
6186107,7,2018,23
7878182,8,2018,23
906755,9,2018,23
880185,10,2018,23
23214,11,2018,23
3033524,12,2018,23
1710859,1,2018,23
3387460,2,2018,23
806624,3,2018,23
1983273,4,2018,23
3011833,5,2019,23
2247351,6,2019,23
4429583,7,2019,23
1103651,8,2019,23
3214370,9,2019,23
5720003,10,2016,24
7995768,11,2016,24
2142429,12,2016,24
2839645,1,2016,24
6477921,2,2016,24
3311457,3,2016,24
35049665,4,2016,24
11663242,5,2017,24
6493508,6,2017,24
28632545,7,2017,24
43487571,8,2017,24
23384553,9,2017,24
6610022,10,2017,24
2637436,11,2017,24
12305414,12,2017,24
14541828,1,2017,24
83166460,2,2017,24
70614110,3,2017,24
20282384,4,2017,24
55525156,5,2018,24
33235155,6,2018,24
94886832,7,2018,24
41661539,8,2018,24
64167195,9,2018,24
1798728,10,2018,24
8469586,11,2018,24
11324792,12,2018,24
65576400,1,2018,24
25930976,2,2018,24
20443967,3,2018,24
142043039,4,2018,24
3111444,5,2019,24
41629942,6,2019,24
53024453,7,2019,24
2884417,8,2019,24
19829528,9,2019,24
34429214,10,2016,25
26163387,11,2016,25
12613078,12,2016,25
4621842,1,2016,25
26377669,2,2016,25
9559579,3,2016,25
34744252,4,2016,25
47362455,5,2017,25
21134607,6,2017,25
14885581,7,2017,25
17987934,8,2017,25
2759754,9,2017,25
26755948,10,2017,25
3381164,11,2017,25
116485436,12,2017,25
134053098,1,2017,25
5789578,2,2017,25
6557637,3,2017,25
9148312,4,2017,25
13951356,5,2018,25
22273885,6,2018,25
3004076,7,2018,25
7844008,8,2018,25
5308438,9,2018,25
4130127,10,2018,25
1056237,11,2018,25
5927620,12,2018,25
8333191,1,2018,25
5411533,2,2018,25
10767473,3,2018,25
37073693,4,2018,25
37438801,5,2019,25
16452360,6,2019,25
26541234,7,2019,25
66158983,8,2019,25
10218042,9,2019,25
8135289,10,2016,26
54024081,11,2016,26
20897104,12,2016,26
34202241,1,2016,26
20151829,2,2016,26
15296971,3,2016,26
10501009,4,2016,26
7009686,5,2017,26
15597012,6,2017,26
27053811,7,2017,26
3580903,8,2017,26
14179180,9,2017,26
3509260,10,2017,26
2535670,11,2017,26
2633203,12,2017,26
6177101,1,2017,26
30779446,2,2017,26
14027356,3,2017,26
12249930,4,2017,26
13524828,5,2018,26
13010677,6,2018,26
