iter	Passed	Remaining
0	119	119482
1	239	119342
2	357	118705
3	478	119201
4	600	119453
5	724	120079
6	844	119800
7	964	119620
8	1085	119500
9	1213	120090
10	1334	120025
11	1454	119727
12	1577	119736
13	1702	119903
14	1829	120169
15	1954	120187
16	2081	120351
17	2206	120349
18	2333	120491
19	2461	120621
20	2586	120580
21	2714	120653
22	2843	120786
23	2970	120785
24	3100	120903
25	3224	120786
26	3358	121022
27	3502	121594
28	3639	121870
29	3775	122089
30	3904	122052
31	4032	121988
32	4155	121771
33	4283	121698
34	4414	121712
35	4538	121534
36	4668	121505
37	4795	121396
38	4923	121312
39	5047	121142
40	5174	121034
41	5296	120820
42	5431	120886
43	5557	120750
44	5681	120565
45	5809	120484
46	5930	120251
47	6060	120201
48	6188	120102
49	6316	120010
50	6448	119996
51	6573	119837
52	6702	119761
53	6824	119552
54	6951	119447
55	7073	119244
56	7202	119162
57	7331	119070
58	7458	118957
59	7583	118802
60	7705	118612
61	7827	118428
62	7955	118321
63	8081	118187
64	8208	118082
65	8330	117887
66	8464	117867
67	8612	118042
68	8747	118025
69	8868	117824
70	8996	117710
71	9117	117518
72	9244	117388
73	9374	117309
74	9499	117165
75	9624	117011
76	9754	116933
77	9883	116824
78	10009	116692
79	10139	116601
80	10260	116409
81	10394	116372
82	10519	116226
83	10664	116293
84	10795	116209
85	10921	116073
86	11042	115878
87	11170	115769
88	11298	115650
89	11421	115484
90	11544	115319
91	11682	115303
92	11804	115124
93	11929	114984
94	12063	114921
95	12211	114993
96	12332	114803
97	12458	114664
98	12588	114565
99	12727	114550
100	12850	114383
101	12976	114240
102	13104	114121
103	13235	114027
104	13355	113837
105	13496	113825
106	13630	113757
107	13764	113687
108	13893	113571
109	14017	113414
110	14145	113291
111	14270	113147
112	14395	113000
113	14521	112857
114	14643	112692
115	14769	112553
116	14901	112458
117	15029	112337
118	15158	112227
119	15284	112084
120	15412	111965
121	15535	111805
122	15663	111680
123	15783	111505
124	15912	111389
125	16040	111264
126	16178	111211
127	16308	111099
128	16429	110934
129	16554	110788
130	16670	110588
131	16796	110451
132	16926	110337
133	17048	110178
134	17174	110045
135	17294	109867
136	17418	109721
137	17540	109564
138	17668	109443
139	17793	109304
140	17918	109163
141	18051	109073
142	18169	108889
143	18290	108724
144	18417	108599
145	18549	108503
146	18683	108417
147	18805	108260
148	18930	108117
149	19058	107996
150	19177	107827
151	19296	107655
152	19411	107461
153	19544	107366
154	19674	107257
155	19803	107143
156	19938	107058
157	20075	106982
158	20198	106836
159	20327	106721
160	20454	106590
161	20570	106409
162	20695	106271
163	20827	106170
164	20963	106086
165	21129	106157
166	21267	106081
167	21420	106081
168	21565	106041
169	21719	106042
170	21865	106001
171	22006	105937
172	22147	105873
173	22283	105780
174	22406	105630
175	22525	105458
176	22649	105313
177	22787	105229
178	22905	105058
179	23034	104934
180	23165	104821
181	23295	104703
182	23425	104582
183	23560	104486
184	23699	104406
185	23819	104241
186	23944	104102
187	24090	104051
188	24223	103944
189	24368	103887
190	24514	103834
191	24634	103671
192	24781	103620
193	24910	103494
194	25027	103318
195	25163	103223
196	25291	103092
197	25414	102939
198	25538	102794
199	25676	102707
200	25803	102571
201	25932	102444
202	26057	102304
203	26185	102174
204	26320	102072
205	26439	101905
206	26562	101757
207	26706	101688
208	26860	101659
209	27000	101574
210	27120	101412
211	27256	101311
212	27404	101255
213	27531	101120
214	27664	101009
215	27787	100859
216	27917	100734
217	28034	100563
218	28166	100448
219	28290	100304
220	28423	100191
221	28565	100107
222	28691	99970
223	28811	99812
224	28931	99654
225	29056	99510
226	29188	99393
227	29321	99282
228	29439	99116
229	29564	98976
230	29716	98926
231	29871	98886
232	29995	98741
233	30120	98599
234	30246	98463
235	30378	98345
236	30504	98206
237	30638	98094
238	30754	97923
239	30877	97780
240	31000	97632
241	31119	97473
242	31237	97310
243	31355	97150
244	31479	97007
245	31602	96862
246	31775	96870
247	31905	96746
248	32027	96598
249	32144	96434
250	32259	96264
251	32393	96151
252	32522	96024
253	32643	95874
254	32766	95730
255	32904	95629
256	33050	95550
257	33194	95465
258	33338	95380
259	33455	95218
260	33602	95142
261	33750	95068
262	33883	94951
263	34025	94859
264	34187	94821
265	34309	94674
266	34437	94543
267	34569	94420
268	34692	94276
269	34833	94178
270	34964	94055
271	35084	93903
272	35219	93789
273	35355	93679
274	35507	93609
275	35635	93479
276	35751	93315
277	35887	93203
278	36021	93087
279	36138	92928
280	36269	92802
281	36392	92659
282	36529	92549
283	36657	92417
284	36790	92299
285	36923	92179
286	37053	92052
287	37175	91906
288	37316	91806
289	37472	91741
290	37593	91593
291	37717	91452
292	37862	91361
293	37995	91241
294	38122	91105
295	38258	90993
296	38429	90963
297	38571	90862
298	38710	90755
299	38865	90686
300	38987	90538
301	39130	90440
302	39274	90343
303	39391	90186
304	39516	90044
305	39645	89914
306	39765	89762
307	39886	89616
308	40002	89455
309	40134	89332
310	40260	89195
311	40383	89051
312	40516	88928
313	40645	88798
314	40768	88655
315	40892	88514
316	41008	88356
317	41138	88228
318	41263	88088
319	41379	87930
320	41500	87784
321	41624	87644
322	41739	87485
323	41870	87359
324	41985	87200
325	42130	87104
326	42260	86976
327	42379	86827
328	42493	86665
329	42622	86537
330	42755	86414
331	42884	86286
332	43013	86156
333	43140	86023
334	43269	85892
335	43392	85752
336	43516	85613
337	43646	85484
338	43786	85378
339	43918	85254
340	44048	85126
341	44175	84993
342	44296	84847
343	44420	84708
344	44587	84651
345	44741	84568
346	44859	84418
347	44978	84270
348	45120	84165
349	45277	84086
350	45395	83937
351	45512	83784
352	45669	83706
353	45792	83564
354	45924	83440
355	46050	83305
356	46184	83183
357	46312	83051
358	46454	82944
359	46583	82814
360	46705	82672
361	46841	82554
362	46979	82441
363	47104	82303
364	47233	82172
365	47373	82061
366	47505	81936
367	47643	81822
368	47780	81705
369	47919	81593
370	48052	81469
371	48170	81320
372	48293	81180
373	48440	81079
374	48586	80977
375	48733	80877
376	48859	80741
377	48989	80612
378	49137	80513
379	49267	80383
380	49403	80264
381	49554	80170
382	49686	80043
383	49817	79915
384	49954	79797
385	50096	79687
386	50231	79566
387	50351	79420
388	50490	79305
389	50642	79210
390	50782	79095
391	50922	78982
392	51052	78852
393	51190	78734
394	51319	78603
395	51439	78458
396	51584	78351
397	51715	78222
398	51860	78115
399	52022	78034
400	52174	77936
401	52294	77792
402	52424	77661
403	52564	77545
404	52715	77446
405	52857	77333
406	53002	77225
407	53143	77109
408	53293	77009
409	53458	76928
410	53627	76852
411	53792	76772
412	53940	76665
413	54075	76541
414	54205	76410
415	54340	76286
416	54463	76144
417	54603	76026
418	54749	75916
419	54926	75851
420	55086	75759
421	55252	75677
422	55428	75608
423	55596	75527
424	55772	75456
425	55947	75384
426	56105	75288
427	56252	75178
428	56417	75091
429	56563	74979
430	56705	74862
431	56853	74751
432	57006	74648
433	57175	74564
434	57358	74499
435	57536	74427
436	57686	74319
437	57856	74236
438	58051	74184
439	58230	74111
440	58384	74006
441	58542	73906
442	58731	73845
443	58874	73725
444	59025	73616
445	59186	73518
446	59328	73397
447	59471	73276
448	59610	73152
449	59759	73038
450	59903	72919
451	60043	72795
452	60177	72664
453	60310	72532
454	60437	72392
455	60572	72261
456	60696	72118
457	60827	71984
458	60960	71850
459	61090	71714
460	61235	71596
461	61397	71497
462	61525	71358
463	61652	71218
464	61782	71083
465	61914	70949
466	62074	70847
467	62205	70712
468	62352	70595
469	62521	70503
470	62675	70393
471	62834	70289
472	62977	70167
473	63120	70045
474	63267	69926
475	63404	69798
476	63539	69666
477	63692	69555
478	63827	69424
479	63974	69306
480	64130	69197
481	64300	69102
482	64466	69003
483	64646	68920
484	64784	68791
485	64928	68668
486	65075	68550
487	65218	68426
488	65353	68293
489	65502	68175
490	65632	68038
491	65796	67936
492	65948	67820
493	66110	67716
494	66258	67597
495	66390	67461
496	66513	67316
497	66651	67186
498	66797	67064
499	66922	66922
500	67064	66796
501	67225	66689
502	67359	66555
503	67485	66414
504	67631	66292
505	67776	66168
506	67912	66037
507	68051	65908
508	68185	65774
509	68311	65632
510	68463	65516
511	68602	65387
512	68754	65269
513	68873	65121
514	69007	64987
515	69150	64861
516	69281	64724
517	69396	64573
518	69530	64439
519	69649	64292
520	69781	64156
521	69941	64046
522	70093	63928
523	70243	63808
524	70373	63671
525	70501	63531
526	70628	63391
527	70763	63258
528	70885	63113
529	71003	62965
530	71130	62825
531	71256	62684
532	71381	62542
533	71516	62409
534	71638	62264
