iter	Logloss
0	0.6776013923
1	0.6636740069
2	0.6483984552
3	0.6370782877
4	0.6220793067
5	0.6108632925
6	0.5998489638
7	0.5891529752
8	0.5792751797
9	0.5678882495
10	0.5568912769
11	0.5479119883
12	0.5404231262
13	0.5314009925
14	0.5217669885
15	0.5144039341
16	0.5069021019
17	0.4966745452
18	0.489558083
19	0.4798817718
20	0.4703631078
21	0.4617078038
22	0.4555725709
23	0.4473775861
24	0.439971695
25	0.4339782205
26	0.428692737
27	0.4216608417
28	0.4151644025
29	0.4091022018
30	0.4032089163
31	0.3978242939
32	0.3931631051
33	0.3890788618
34	0.3848063178
35	0.3795133242
36	0.3728791184
37	0.367545594
38	0.3620645691
39	0.3583586825
40	0.3539222849
41	0.3501351568
42	0.346196472
43	0.3429981926
44	0.3397799495
45	0.3357728633
46	0.3325213144
47	0.3285898247
48	0.3258833014
49	0.3218967851
50	0.3180119186
51	0.3141242367
52	0.31099641
53	0.3083056994
54	0.3056375232
55	0.3027428972
56	0.2998788336
57	0.2972370535
58	0.2939857876
59	0.2917514242
60	0.2896676992
61	0.2866805371
62	0.2837051933
63	0.2810912577
64	0.2790261179
65	0.2764599833
66	0.2747358445
67	0.2723223755
68	0.2696130897
69	0.267432804
70	0.2659343267
71	0.2639687811
72	0.2619243986
73	0.2597174075
74	0.2581775581
75	0.256115054
76	0.2546817334
77	0.2534853844
78	0.2520018837
79	0.2504788686
80	0.2488348628
81	0.2475981828
82	0.2462168673
83	0.2447253277
84	0.2430465382
85	0.2418853856
86	0.2402676973
87	0.2383759911
88	0.2371610344
89	0.2363769256
90	0.2352653655
91	0.2338482091
92	0.2324989194
93	0.2306891004
94	0.2297172925
95	0.2287840889
96	0.2275206734
97	0.2265764985
98	0.2255161815
99	0.2245260882
100	0.2239238506
101	0.2226969445
102	0.221611847
103	0.2207459688
104	0.219850785
105	0.2191046551
106	0.2184670491
107	0.2173090392
108	0.2166755027
109	0.2160027552
110	0.2154028193
111	0.2143930784
112	0.2136101441
113	0.2128286498
114	0.2124013156
115	0.2118724665
116	0.2110008086
117	0.2102239312
118	0.209275378
119	0.2086606204
120	0.2081726059
121	0.2074461001
122	0.2069433572
123	0.2064799072
124	0.2058503915
125	0.2051370327
126	0.2045316352
127	0.2039085816
128	0.2033429171
129	0.2028238378
130	0.2022107698
131	0.2015423066
132	0.201109713
133	0.2005960612
134	0.1998935174
135	0.1994264698
136	0.1988978934
137	0.198050823
138	0.1975794285
139	0.1972703189
140	0.1968039293
141	0.1963528493
142	0.1959630526
143	0.1955660497
144	0.1952359339
145	0.1946285005
146	0.1941613263
147	0.1937692079
148	0.193278164
149	0.192901272
150	0.1924347957
151	0.1919897411
152	0.191590131
153	0.191080572
154	0.1907242372
155	0.1903937468
156	0.1901049403
157	0.1897852821
158	0.1895325989
159	0.1892810934
160	0.1889000056
161	0.1885913875
162	0.1881704742
163	0.1878515312
164	0.1874237715
165	0.1870509481
166	0.1866749857
167	0.186340587
168	0.1859902915
169	0.1856036733
170	0.1852002677
171	0.1848303644
172	0.1845477551
173	0.1841690096
174	0.1839032045
175	0.1836939198
176	0.1834052959
177	0.1831059082
178	0.1828705882
179	0.1825591792
180	0.182321951
181	0.1819588497
182	0.1815757416
183	0.1813427893
184	0.181115847
185	0.1808056135
186	0.1805870909
187	0.1803786106
188	0.1801210645
189	0.1799027301
190	0.1797663575
191	0.1794861393
192	0.1793033867
193	0.1791002825
194	0.178862716
195	0.1786081352
196	0.178360232
197	0.1781186303
198	0.1779274349
199	0.1775983987
200	0.1774651921
201	0.1773305711
202	0.1771648954
203	0.1768707945
204	0.1767165061
205	0.1764001131
206	0.1761677102
207	0.1759684336
208	0.1757548285
209	0.1755726364
210	0.175392402
211	0.1750895212
212	0.174736873
213	0.1745382498
214	0.174333085
215	0.1741098119
216	0.1739302968
217	0.1738106937
218	0.173650074
219	0.173506482
220	0.1734014155
221	0.1731897761
222	0.1730265171
223	0.1728504253
224	0.1726947089
225	0.1725280658
226	0.1723196673
227	0.1720830022
228	0.1719155822
229	0.1716840886
230	0.1714990539
231	0.171286676
232	0.171119875
233	0.1709162927
234	0.1707340207
235	0.1705881988
236	0.1703815307
237	0.1701357725
238	0.1699479008
239	0.1698194891
240	0.1696659656
241	0.1694547914
242	0.1692743647
243	0.1690793791
244	0.1689684149
245	0.1689129703
246	0.1688453426
247	0.1687161592
248	0.1685574696
249	0.1684169599
250	0.1682639114
251	0.168080173
252	0.1678375826
253	0.1676340368
254	0.167543357
255	0.1673907415
256	0.1672319714
257	0.1671259291
258	0.1668694414
259	0.1666347269
260	0.1665151828
261	0.1663478481
