iter	Passed	Remaining
0	2	2375
1	3	1907
2	4	1562
3	6	1738
4	8	1657
5	9	1584
6	11	1633
7	13	1701
8	15	1726
9	18	1792
10	19	1792
11	22	1811
12	23	1814
13	25	1818
14	27	1792
15	28	1775
16	31	1801
17	32	1774
18	33	1749
19	37	1816
20	38	1814
21	40	1798
22	41	1777
23	43	1775
24	44	1748
25	48	1801
26	49	1790
27	51	1798
28	54	1814
29	56	1818
30	58	1817
31	61	1848
32	65	1920
33	67	1930
34	70	1955
35	72	1946
36	75	1954
37	77	1971
38	80	1986
39	82	1988
40	84	1982
41	88	2019
42	90	2007
43	91	1988
44	93	1975
45	94	1950
46	96	1956
47	102	2034
48	104	2029
49	106	2022
50	107	2008
51	112	2048
52	114	2048
53	116	2042
54	118	2031
55	119	2017
56	121	2010
57	122	1996
58	124	1991
59	126	1987
60	129	1996
61	133	2022
62	135	2020
63	137	2009
64	139	2002
65	141	1997
66	142	1990
67	145	1999
68	147	1989
69	150	2000
70	152	1989
71	153	1981
72	155	1973
73	156	1962
74	159	1963
75	162	1976
76	165	1978
77	167	1984
78	169	1980
79	171	1973
80	173	1968
81	176	1976
82	179	1980
83	181	1980
84	183	1969
85	184	1961
86	186	1954
87	188	1951
88	190	1945
89	191	1938
90	193	1934
91	195	1930
92	196	1916
93	197	1902
94	198	1894
95	200	1886
96	202	1880
97	203	1875
98	205	1868
99	207	1863
100	209	1863
101	211	1865
102	213	1857
103	215	1858
104	217	1851
105	218	1846
106	220	1843
107	222	1840
108	224	1837
109	227	1836
110	228	1829
111	229	1818
112	230	1807
113	231	1800
114	233	1795
115	235	1791
116	237	1789
117	238	1783
118	240	1778
119	241	1772
120	242	1763
121	243	1754
122	244	1744
123	245	1735
124	246	1725
125	247	1716
126	248	1707
127	249	1698
128	250	1689
129	251	1681
130	252	1672
131	253	1664
132	254	1656
133	254	1647
134	256	1641
135	257	1632
136	258	1625
137	259	1618
138	260	1611
139	261	1603
140	261	1595
141	262	1588
142	263	1580
143	264	1573
144	265	1567
145	266	1559
146	267	1552
147	268	1545
148	269	1538
149	270	1531
150	271	1525
151	272	1518
152	273	1512
153	274	1506
154	275	1499
155	276	1493
156	276	1487
157	277	1480
158	278	1474
159	279	1468
160	280	1462
161	281	1456
162	282	1450
163	283	1444
164	284	1439
165	285	1433
166	286	1428
167	287	1423
168	288	1417
169	289	1412
170	290	1409
171	291	1404
172	292	1399
173	293	1394
174	294	1388
175	295	1383
176	296	1378
177	297	1373
178	298	1368
179	299	1363
180	300	1358
181	301	1354
182	302	1348
183	303	1344
184	304	1339
185	305	1334
186	305	1330
187	306	1325
188	307	1320
189	309	1317
190	309	1312
191	310	1308
192	311	1304
193	312	1299
194	313	1295
195	314	1291
196	315	1287
197	316	1282
198	317	1278
199	318	1274
200	319	1270
201	320	1266
202	321	1262
203	322	1258
204	323	1254
205	324	1250
206	325	1246
207	326	1242
208	327	1238
209	328	1235
210	329	1231
211	330	1227
212	331	1223
213	332	1219
214	332	1215
215	333	1211
216	334	1208
217	335	1205
218	336	1201
219	337	1197
220	338	1193
221	339	1190
222	340	1186
223	341	1183
224	342	1179
225	343	1176
226	344	1173
227	345	1169
228	346	1166
229	347	1162
230	348	1159
231	349	1155
232	350	1152
233	351	1149
234	351	1145
235	352	1142
236	353	1139
237	354	1136
238	355	1132
239	356	1129
240	357	1126
241	358	1123
242	359	1120
243	360	1116
244	361	1113
245	362	1110
246	365	1115
247	366	1111
248	367	1108
249	368	1105
250	369	1102
251	370	1099
252	371	1096
253	372	1094
254	373	1091
255	374	1088
256	375	1084
257	376	1081
258	377	1078
259	378	1076
260	379	1073
261	379	1070
262	380	1067
263	381	1064
264	382	1061
265	383	1058
266	384	1055
267	385	1053
268	386	1051
269	387	1048
270	388	1045
271	389	1042
272	390	1039
273	391	1037
274	392	1034
275	393	1031
276	394	1029
277	395	1026
278	396	1023
279	397	1021
280	398	1018
281	398	1015
282	399	1013
283	400	1010
284	401	1008
285	402	1005
286	403	1003
287	404	1000
288	405	997
289	406	995
290	407	992
291	408	990
292	409	987
293	410	984
294	411	982
295	411	979
296	412	977
297	413	974
298	415	973
299	415	970
300	416	968
301	418	968
302	420	968
303	427	978
304	429	979
305	432	979
306	433	978
307	438	985
308	439	982
309	442	984
310	444	985
311	446	983
312	447	982
313	449	981
314	453	985
315	455	985
316	457	986
317	460	987
318	461	985
319	463	985
320	465	984
321	467	984
322	470	985
323	472	985
324	473	984
325	476	985
326	479	985
327	481	985
328	482	984
329	485	984
330	486	984
331	488	983
332	490	982
333	492	982
334	494	980
335	496	980
336	498	979
337	499	978
338	501	978
339	503	977
340	505	976
341	507	976
342	509	975
343	511	976
344	513	975
345	515	973
346	521	981
347	524	982
348	526	981
349	528	980
350	530	980
351	531	978
352	534	978
353	536	978
354	537	976
355	540	978
356	542	977
357	544	975
358	544	973
359	546	971
360	547	968
361	548	966
362	550	965
363	551	962
364	552	960
365	553	958
366	554	955
367	555	953
368	557	953
369	558	951
370	560	949
371	561	948
372	562	945
373	563	943
374	565	941
375	566	940
376	567	938
377	568	936
378	569	933
379	570	931
380	571	929
381	572	926
382	573	924
383	574	922
384	575	919
385	576	917
386	577	915
387	578	912
388	579	910
389	580	908
390	582	906
391	583	905
392	584	903
393	586	901
394	588	901
395	590	900
396	591	899
397	592	896
398	593	894
399	594	892
400	595	889
401	596	887
402	598	886
403	600	885
404	602	884
405	603	883
406	604	880
407	605	878
408	606	876
409	607	873
410	608	871
411	609	869
412	610	867
413	610	864
414	611	862
415	612	860
416	613	858
417	614	856
418	615	853
419	616	851
420	617	849
421	618	847
422	619	845
423	620	843
424	621	840
425	622	838
426	623	836
427	624	834
428	625	832
429	626	830
430	627	828
431	628	826
432	629	824
433	630	822
434	631	820
435	632	818
436	633	816
437	634	814
438	635	812
439	636	810
440	637	808
441	638	806
442	639	803
443	640	801
444	641	799
445	642	797
446	643	795
447	644	793
448	645	791
449	646	789
450	647	788
451	648	786
452	649	784
453	650	782
454	651	780
455	652	778
456	653	776
457	654	774
458	655	772
459	656	770
460	656	768
461	658	766
462	659	764
463	659	762
464	660	760
465	661	758
466	662	756
467	663	754
468	664	752
469	665	750
470	666	748
471	667	746
472	668	745
473	669	743
474	670	741
475	671	739
476	672	737
477	673	735
478	674	733
479	675	731
480	676	729
481	677	728
482	678	726
483	679	724
484	681	723
485	681	721
486	682	719
487	684	717
488	685	716
489	686	714
490	687	712
491	688	710
492	689	708
493	690	706
494	691	705
495	692	703
496	693	701
497	693	699
498	695	698
499	696	696
500	697	694
501	698	692
502	699	690
503	700	688
504	701	687
505	701	685
506	702	683
507	703	681
508	704	679
509	705	678
510	706	676
511	707	674
512	708	672
513	709	670
514	710	669
515	711	667
516	712	665
517	713	664
518	714	662
519	715	660
520	716	658
521	717	657
522	718	655
523	720	654
524	722	653
525	724	652
526	725	651
527	727	650
528	729	649
529	730	648
530	732	646
531	734	645
532	736	645
533	738	644
534	740	643
535	741	641
536	742	639
537	743	638
538	744	636
539	745	635
540	747	634
541	748	632
542	749	630
543	750	628
544	751	627
545	752	625
546	752	623
547	753	621
548	754	620
549	756	619
550	758	617
551	759	616
552	759	614
553	760	612
554	761	610
555	762	609
556	763	607
557	764	605
558	765	604
559	766	602
560	767	600
561	768	598
562	769	597
563	770	595
564	771	593
565	772	592
566	773	590
567	774	588
568	775	587
569	776	585
570	777	584
571	779	583
572	781	582
573	782	581
574	783	579
575	784	577
576	785	575
577	786	574
578	787	572
579	788	570
580	789	569
581	790	567
582	791	565
583	792	564
584	793	562
585	794	561
586	795	559
587	796	557
588	796	556
589	797	554
590	798	552
591	799	551
592	800	549
593	801	547
594	802	546
595	803	544
596	804	542
597	805	541
598	806	539
599	806	537
600	807	536
601	808	534
602	809	533
603	810	531
604	811	530
605	812	528
606	813	526
607	814	525
608	815	523
609	817	522
610	818	520
611	819	519
612	819	517
613	820	516
614	821	514
615	822	512
616	823	511
617	824	509
618	825	508
619	826	506
620	827	504
621	828	503
622	829	501
623	830	500
624	831	498
625	832	497
626	833	495
627	834	494
628	834	492
629	835	490
630	836	489
631	837	487
632	838	486
633	839	484
634	840	483
635	841	481
636	842	480
637	843	478
638	844	476
639	845	475
640	846	473
641	847	472
642	848	470
643	849	469
644	849	467
645	850	466
646	851	464
647	852	463
648	853	461
649	854	460
650	855	458
651	856	457
652	857	455
653	858	454
654	859	452
655	860	451
656	861	449
657	862	448
658	863	446
659	864	445
660	864	443
661	865	442
662	866	440
663	867	439
664	869	437
665	871	436
666	872	435
667	874	434
668	875	433
669	877	432
670	878	430
671	881	430
672	882	428
673	883	427
674	884	425
675	885	424
676	886	422
677	886	421
678	887	419
679	888	418
680	889	416
681	890	415
682	891	413
683	893	412
684	894	411
685	895	409
686	896	408
687	896	406
688	897	405
689	898	403
690	900	402
691	902	401
692	904	400
693	905	399
694	906	397
695	907	396
696	908	394
697	909	393
698	910	391
699	911	390
700	912	389
701	913	387
702	914	386
703	915	384
704	916	383
705	917	381
706	918	380
707	919	379
708	919	377
709	920	376
710	921	374
711	922	373
712	923	371
713	924	370
714	925	368
715	926	367
716	927	366
717	928	364
718	929	363
719	930	361
720	931	360
721	932	358
722	933	357
723	934	356
724	935	354
725	936	353
726	936	351
727	937	350
728	938	349
729	939	347
730	940	346
731	941	344
732	942	343
733	943	341
734	944	340
735	945	339
736	946	337
737	947	336
738	948	334
739	949	333
740	950	332
741	951	330
742	952	329
743	952	327
744	953	326
745	954	325
746	956	323
747	957	322
748	957	321
749	958	319
750	959	318
751	960	316
752	961	315
753	962	314
754	963	312
755	964	311
756	965	309
757	966	308
758	967	307
759	968	305
760	969	304
761	970	303
762	971	301
763	972	300
764	973	298
765	974	297
766	974	296
767	975	294
768	976	293
769	977	292
770	978	290
771	979	289
772	980	287
773	981	286
774	982	285
775	983	283
776	984	282
777	985	281
778	986	279
779	987	278
780	988	277
781	989	275
782	990	274
783	991	273
784	992	271
785	992	270
786	993	268
787	994	267
788	995	266
789	996	264
790	997	263
791	998	262
792	999	260
793	1000	259
794	1001	258
795	1002	256
796	1003	255
797	1003	254
798	1004	252
799	1005	251
800	1006	250
801	1007	248
802	1008	247
803	1009	246
804	1010	244
805	1011	243
806	1012	242
807	1013	240
808	1014	239
809	1015	238
810	1016	236
811	1017	235
812	1017	234
813	1018	232
814	1019	231
815	1020	230
816	1021	228
817	1022	227
818	1023	226
819	1024	224
820	1025	223
821	1026	222
822	1027	220
823	1028	219
824	1029	218
825	1030	217
826	1031	215
827	1032	214
828	1033	213
829	1033	211
830	1034	210
831	1035	209
832	1036	207
833	1037	206
834	1038	205
835	1039	203
836	1040	202
837	1041	201
838	1042	200
839	1043	198
840	1044	197
841	1045	196
842	1046	194
843	1046	193
844	1047	192
845	1048	190
846	1049	189
847	1051	188
848	1053	187
849	1054	186
850	1055	184
851	1056	183
852	1057	182
853	1058	180
854	1059	179
855	1060	178
856	1061	177
857	1062	175
858	1063	174
859	1064	173
860	1064	171
861	1065	170
862	1066	169
863	1067	168
864	1068	166
865	1069	165
866	1070	164
867	1071	162
868	1072	161
869	1073	160
870	1074	159
871	1075	157
872	1076	156
873	1077	155
874	1078	154
875	1078	152
876	1079	151
877	1080	150
878	1081	148
879	1082	147
880	1083	146
881	1084	145
882	1085	143
883	1086	142
884	1087	141
885	1088	140
886	1089	138
887	1091	137
888	1092	136
889	1093	135
890	1094	133
891	1095	132
892	1096	131
893	1097	130
894	1098	128
895	1099	127
896	1099	126
897	1101	125
898	1102	123
899	1103	122
900	1104	121
901	1105	120
902	1106	118
903	1107	117
904	1108	116
905	1108	115
906	1109	113
907	1110	112
908	1111	111
909	1112	110
910	1113	108
911	1114	107
912	1115	106
913	1116	105
914	1117	103
915	1118	102
916	1119	101
917	1120	100
918	1121	98
919	1122	97
920	1123	96
921	1124	95
922	1125	93
923	1125	92
924	1126	91
925	1127	90
926	1128	88
927	1129	87
928	1130	86
929	1131	85
930	1132	83
931	1133	82
932	1134	81
933	1135	80
934	1136	78
935	1137	77
936	1138	76
937	1139	75
938	1140	74
939	1141	72
940	1141	71
941	1142	70
942	1143	69
943	1144	67
944	1145	66
945	1146	65
946	1147	64
947	1148	62
948	1149	61
949	1150	60
950	1151	59
951	1152	58
952	1153	56
953	1154	55
954	1154	54
955	1155	53
956	1156	51
957	1157	50
958	1158	49
959	1162	48
960	1164	47
961	1166	46
962	1168	44
963	1169	43
964	1170	42
965	1171	41
966	1173	40
967	1174	38
968	1176	37
969	1178	36
970	1179	35
971	1181	34
972	1183	32
973	1185	31
974	1186	30
975	1187	29
976	1188	27
977	1189	26
978	1190	25
979	1191	24
980	1192	23
981	1193	21
982	1194	20
983	1194	19
984	1195	18
985	1196	16
986	1197	15
987	1198	14
988	1200	13
989	1201	12
990	1203	10
991	1205	9
992	1207	8
993	1208	7
994	1209	6
995	1210	4
996	1211	3
997	1212	2
998	1213	1
999	1214	0
