,art_id,to_pick,weight,volume,tour_id,box_position_on_cart,box_type,order_time_sec,num_cluster
0,465337,1,0.28,840.84,209946,11,1,4.024952,1
1,321159,1,0.28,840.84,209946,11,1,1.637162,1
2,458842,1,0.033,2215.2,209946,11,1,8.770161,1
3,594383,1,0.308,1017.9,209946,11,1,3.8728990000000003,1
4,476219,2,0.035,1754.5,209946,11,1,4.2472080000000005,1
5,458830,1,0.03,10089.0,209946,11,1,1.260305,1
6,491390,1,0.033,1674.75,209946,11,1,3.439025,1
7,637071,1,0.7609999999999999,5280.48,209946,11,1,1.911297,1
8,431700,1,0.091,631.13,209946,11,1,1.313066,1
9,654493,16,0.055,530.05,209705,10,1,23.538097,1
10,623986,6,0.045,284.46,209705,10,1,15.394273,1
11,623986,26,0.045,284.46,209705,10,1,63.52538800000001,3
12,635906,10,0.129,457.22,209705,10,1,26.674380000000003,1
13,94209,10,0.019,324.9,209705,10,1,43.773421000000006,1
14,848000,1,0.46,1470.0,209873,4,1,20.421825000000002,1
15,645296,1,1.3840000000000001,10992.96,209873,4,1,14.329500000000001,1
16,356162,1,0.06,419.9,209873,4,1,3.181449,1
17,645296,1,1.3840000000000001,10992.96,209873,4,1,7.333747000000001,1
18,467940,1,0.428,441.0,209873,4,1,14.136023000000002,1
19,356058,1,0.06,419.9,209873,4,1,4.562953,1
20,107184,1,0.037000000000000005,334.03,209873,4,1,4.886292,1
21,469270,1,0.5,892.5,209873,4,1,4.654085,1
22,599063,1,0.136,176.0,209873,11,1,6.179145,1
23,506830,1,0.415,1148.66,209873,11,1,3.43635,1
24,988650,1,1.445,12345.43,209873,11,1,4.265478,1
25,468694,1,0.56,1088.47,209873,11,1,3.5370510000000004,1
26,523704,1,0.898,6069.36,209873,11,1,10.694321,1
27,432202,1,0.271,496.51,209873,11,1,3.975258,1
28,357616,1,0.887,2736.09,209873,11,1,6.517275000000001,1
29,103642,2,0.557,1148.16,210317,1,2,13.191869,1
30,435181,5,0.98,2873.56,210317,3,2,38.670486000000004,1
31,577549,4,0.5589999999999999,1093.37,210317,2,2,42.663700000000006,1
32,317383,14,0.43,889.2,210317,2,2,20.201382000000002,1
33,424929,12,0.48,3657.6,210317,3,2,21.07668,1
34,602673,2,0.79,1711.08,210317,3,2,26.973830000000003,1
35,820725,12,0.5589999999999999,1093.37,210317,1,2,109.14099200000001,1
36,196068,10,0.85,1880.19,210317,2,2,42.9346,1
37,235542,16,0.578,699.84,210317,1,2,50.579797000000006,1
38,602673,4,0.79,1711.08,210317,3,2,44.367345,1
39,490960,2,0.8390000000000001,1148.85,213586,6,1,21.663137000000003,1
40,388138,120,0.013000000000000001,102.31,213586,6,1,51.131882000000004,3
41,629187,1,0.08,640.0,213586,6,1,4.786729,1
42,545208,5,0.042,223.2,213586,6,1,13.39447,1
43,457087,10,0.634,2072.0,213577,4,1,23.596995,1
44,794701,1,0.054000000000000006,244.5,213587,6,3,5.731855,0
45,22750,1,0.63,800.0,213587,6,3,0.935358,0
46,819227,1,0.019,193.04,213587,6,3,1.849223,0
47,576635,1,0.51,812.91,213587,6,3,2.537691,0
48,784049,1,0.027000000000000003,29.2,213587,6,3,1.912428,0
49,794646,1,0.16,184.91,213587,6,3,2.0153320000000003,0
50,786278,1,0.059000000000000004,48.72,213587,6,3,1.134228,0
51,785230,1,0.019,193.04,213587,6,3,1.1397540000000002,0
52,204069,1,0.244,1164.24,213587,6,3,2.5013170000000002,0
53,740701,1,0.115,275.42,213587,6,3,2.463979,0
54,849655,1,0.038,392.0,213587,6,3,5.077819000000001,0
55,655884,6,0.593,7722.0,213587,3,4,15.993306,0
56,7953,1,0.05,484.34,213587,3,4,2.8818960000000002,0
57,605158,2,0.061,294.0,213587,3,4,1.8002310000000001,0
58,168933,1,0.217,376.65,213587,3,4,1.7867080000000002,0
59,313714,1,0.026000000000000002,57.06,213587,3,4,0.7955000000000001,0
60,725156,2,0.5,1375.41,213586,8,1,8.689123,1
61,596876,2,0.17,904.4,213586,8,1,16.107475,1
62,725157,2,0.57,1375.41,213586,8,1,11.923144,1
63,411581,1,3.03,8316.0,213586,8,1,5.893555,1
64,654124,2,0.13699999999999998,1287.0,213586,8,1,8.080639,1
65,57432,2,0.818,1416.14,213586,8,1,10.571363,1
66,728666,2,0.8029999999999999,1369.6,213586,8,1,11.047170000000001,1
67,711943,6,0.24100000000000002,1180.87,213586,5,4,41.538649,0
68,711949,6,0.24100000000000002,1180.87,213586,5,4,35.792433,0
69,715929,4,0.51,1951.0,213586,5,4,30.001084000000002,0
70,715940,3,0.24100000000000002,1180.87,213586,5,4,23.787532000000002,0
71,624012,40,0.02,89.28,213586,5,4,25.015715,3
72,556978,2,1.085,2498.83,213876,4,2,6.371307000000001,1
73,472781,1,0.21,866.52,213876,4,2,2.917997,1
74,704926,1,0.2,450.0,213876,4,2,1.431083,1
75,815286,1,0.006,28.35,213876,4,2,18.768004,1
76,456254,1,0.043,470.24,213876,4,2,3.74298,1
77,340943,1,0.03,251.9,213876,4,2,12.349271,1
78,520398,1,0.309,657.5,213876,4,2,10.604664000000001,1
79,729378,4,0.062,299.88,213876,4,2,9.914757,1
80,458671,1,0.28300000000000003,505.4,213876,4,2,8.583887,1
81,640695,1,0.087,204.75,213876,4,2,2.3267640000000003,1
82,919375,1,0.981,20592.52,213876,4,2,7.284524,1
83,812921,1,1.08,3693.75,213876,4,2,3.5033960000000004,1
84,811410,1,0.142,989.33,213876,4,2,3.8430920000000004,1
85,640692,1,0.023,252.0,213876,4,2,4.477580000000001,1
86,724895,1,0.040999999999999995,540.0,213876,4,2,1.8033480000000002,1
87,652323,2,1.251,2030.0,213876,4,2,9.256636,1
88,604072,1,0.304,1078.0,213876,4,2,3.661376,1
89,452622,1,0.127,294.29,213876,4,2,3.7316230000000004,1
90,358923,1,0.025,133.17,213876,4,2,9.830818,1
91,264912,2,0.028999999999999998,161.28,213876,4,2,8.754848,1
92,253176,1,0.179,476.0,213876,4,2,4.126854000000001,1
93,436832,1,0.095,176.26,213876,4,2,1.756402,1
