,order_id,customer_id,order_date,is_canceled,number_of_paid_orders_before
0,0,52285,2016-01-01 00:09:51,0,1
1,1,58296,2016-01-01 14:36:14,0,0
2,2,30609,2016-01-01 14:47:46,0,2
3,3,30256,2016-01-01 15:06:36,0,2
4,4,52642,2016-01-01 16:27:37,0,5
5,5,56257,2016-01-01 17:14:02,0,5
6,6,9948,2016-01-01 18:45:36,0,176
7,7,39536,2016-01-01 19:17:55,0,11
8,8,26729,2016-01-01 19:47:50,1,72
9,9,26729,2016-01-01 20:01:01,1,73
10,10,26729,2016-01-01 20:18:43,0,74
11,11,33853,2016-01-01 23:31:51,0,25
12,12,33853,2016-01-01 23:36:46,0,26
13,13,33853,2016-01-01 23:45:58,0,27
14,14,17108,2016-01-02 02:35:42,0,1
15,15,30755,2016-01-02 04:40:40,0,15
16,16,56584,2016-01-02 04:55:32,0,14
17,17,37073,2016-01-02 06:37:00,0,78
18,18,50166,2016-01-02 12:11:16,0,6
19,19,56132,2016-01-02 12:59:55,0,1
20,20,56491,2016-01-02 13:10:02,0,1
21,21,58325,2016-01-02 15:13:37,0,0
22,22,14128,2016-01-02 18:22:02,0,55
23,23,57897,2016-01-02 20:37:50,0,2
24,24,22557,2016-01-02 21:42:55,0,17
25,25,22557,2016-01-02 22:02:27,0,18
26,26,23714,2016-01-02 22:03:28,0,21
27,27,55286,2016-01-02 22:44:17,0,20
28,28,22557,2016-01-02 23:05:06,0,19
29,29,8164,2016-01-02 23:48:07,0,7
30,30,58337,2016-01-03 02:25:33,0,0
31,31,39536,2016-01-03 02:52:33,0,12
32,32,39536,2016-01-03 03:11:20,0,13
33,33,38163,2016-01-03 05:27:13,0,4
34,34,57477,2016-01-03 05:49:46,0,9
35,35,57477,2016-01-03 06:07:56,0,10
36,36,57477,2016-01-03 06:16:36,0,11
37,37,58340,2016-01-03 06:18:04,0,0
38,38,41998,2016-01-03 06:52:27,0,4
39,39,57568,2016-01-03 09:08:04,0,2
40,40,52530,2016-01-03 09:08:06,0,7
41,41,52530,2016-01-03 09:31:44,0,8
42,42,58344,2016-01-03 12:09:24,0,0
43,43,11005,2016-01-03 13:48:48,0,9
44,44,56491,2016-01-03 15:04:35,0,2
45,45,58354,2016-01-03 15:10:42,0,0
46,46,27411,2016-01-03 15:37:00,0,62
47,47,38473,2016-01-03 15:54:42,0,53
48,48,38473,2016-01-03 16:04:54,0,54
49,49,37879,2016-01-03 17:05:36,0,2
50,50,58356,2016-01-03 17:10:05,0,0
51,51,37879,2016-01-03 17:53:29,0,3
52,52,39467,2016-01-03 18:09:23,0,13
53,53,44296,2016-01-03 19:55:34,0,9
54,54,37562,2016-01-03 19:59:14,0,11
55,55,53474,2016-01-03 22:43:35,1,2
56,56,46804,2016-01-04 00:25:49,0,4
57,57,11756,2016-01-04 02:01:15,0,36
58,58,22557,2016-01-04 03:07:30,0,20
59,59,58364,2016-01-04 03:32:32,0,0
60,60,41125,2016-01-04 06:52:35,0,36
61,61,41125,2016-01-04 07:03:57,0,37
62,62,58268,2016-01-04 07:34:00,0,0
63,63,12220,2016-01-04 08:56:30,0,181
64,64,12220,2016-01-04 09:01:13,0,182
65,65,12220,2016-01-04 09:13:38,0,183
66,66,56608,2016-01-04 11:51:23,0,5
67,67,18025,2016-01-04 13:12:40,0,21
68,68,24721,2016-01-04 13:15:39,0,6
69,69,46997,2016-01-04 14:20:09,1,7
70,70,58383,2016-01-04 15:46:34,0,0
71,71,25063,2016-01-04 16:37:05,0,9
72,72,58386,2016-01-04 16:51:54,0,0
73,73,15551,2016-01-04 16:58:32,0,31
74,74,9948,2016-01-04 17:16:11,0,177
75,75,9948,2016-01-04 17:42:51,0,178
76,76,9948,2016-01-04 17:51:16,0,179
77,77,39467,2016-01-04 19:02:41,0,14
78,78,47367,2016-01-04 19:05:24,0,3
79,79,56743,2016-01-04 19:12:35,0,1
80,80,26729,2016-01-04 19:15:39,0,75
81,81,8482,2016-01-04 19:51:11,0,11
82,82,8904,2016-01-04 19:56:14,0,11
83,83,44709,2016-01-04 20:11:23,0,14
84,84,43114,2016-01-04 20:18:43,0,6
85,85,18278,2016-01-04 20:34:51,0,8
86,86,23714,2016-01-04 20:57:07,0,22
87,87,32966,2016-01-04 21:08:56,0,17
88,88,12220,2016-01-04 21:16:03,0,184
89,89,41343,2016-01-04 22:22:43,0,50
90,90,38817,2016-01-04 22:25:13,0,2
91,91,41343,2016-01-04 22:51:52,0,51
92,92,37331,2016-01-04 22:54:18,0,23
93,93,28806,2016-01-04 23:18:48,0,6
94,94,28806,2016-01-04 23:33:44,0,7
95,95,58396,2016-01-05 00:52:47,0,0
96,96,37665,2016-01-05 01:13:51,0,16
97,97,51429,2016-01-05 02:56:28,0,1
98,98,58388,2016-01-05 03:21:48,0,0
99,99,19490,2016-01-05 05:32:20,0,16
100,100,31443,2016-01-05 11:27:15,0,5
101,101,55741,2016-01-05 11:57:39,0,1
102,102,43362,2016-01-05 12:11:24,0,2
103,103,22974,2016-01-05 12:23:03,0,1
104,104,22974,2016-01-05 13:53:01,0,2
105,105,51917,2016-01-05 15:20:20,0,10
106,106,51917,2016-01-05 15:48:25,0,11
107,107,58364,2016-01-05 16:56:21,0,1
108,108,55286,2016-01-05 17:08:44,0,21
109,109,46997,2016-01-05 17:12:49,0,8
110,110,55286,2016-01-05 17:13:16,0,22
111,111,39316,2016-01-05 18:05:03,0,17
112,112,30755,2016-01-05 18:39:21,0,16
113,113,23795,2016-01-05 18:51:53,0,34
114,114,58364,2016-01-05 19:04:29,0,2
115,115,46997,2016-01-05 19:28:25,0,9
116,116,53471,2016-01-05 19:45:13,0,2
117,117,44531,2016-01-05 20:19:39,0,27
118,118,44531,2016-01-05 20:42:38,0,28
119,119,26017,2016-01-05 20:55:49,0,9
120,120,44531,2016-01-05 20:57:46,0,29
121,121,12220,2016-01-05 21:05:50,0,185
122,122,12220,2016-01-05 21:08:34,0,186
123,123,44531,2016-01-05 21:10:13,0,30
124,124,44531,2016-01-05 21:26:11,0,31
125,125,46962,2016-01-05 21:36:02,0,12
126,126,58436,2016-01-05 21:38:12,0,0
127,127,37073,2016-01-05 21:52:24,0,79
128,128,18062,2016-01-05 21:54:34,0,26
129,129,18062,2016-01-05 21:57:14,0,27
130,130,18062,2016-01-05 22:01:29,0,28
131,131,18062,2016-01-05 22:05:28,0,29
132,132,18062,2016-01-05 22:13:48,0,30
133,133,37073,2016-01-05 22:26:30,0,80
134,134,58437,2016-01-05 22:36:57,0,0
135,135,12111,2016-01-05 23:11:46,0,6
136,136,58344,2016-01-05 23:14:17,1,1
137,137,38148,2016-01-05 23:28:34,0,33
138,138,38148,2016-01-05 23:32:50,0,34
139,139,38148,2016-01-05 23:36:38,0,35
140,140,38148,2016-01-05 23:41:04,0,36
141,141,38618,2016-01-05 23:44:15,0,6
142,142,38148,2016-01-05 23:45:17,0,37
143,143,30755,2016-01-06 00:30:08,0,17
144,144,58434,2016-01-06 00:59:09,0,0
145,145,46574,2016-01-06 01:01:19,0,13
146,146,57568,2016-01-06 01:18:01,0,3
147,147,43575,2016-01-06 01:19:08,0,11
148,148,26715,2016-01-06 01:21:41,0,3
149,149,30755,2016-01-06 01:27:55,0,18
150,150,19374,2016-01-06 01:31:11,0,6
151,151,41343,2016-01-06 01:35:50,0,52
152,152,53119,2016-01-06 02:53:01,0,3
153,153,52363,2016-01-06 02:57:36,0,9
154,154,34773,2016-01-06 03:59:48,0,5
155,155,18787,2016-01-06 04:10:09,0,6
156,156,14790,2016-01-06 04:29:06,0,8
157,157,21884,2016-01-06 04:41:37,0,1
158,158,57584,2016-01-06 05:08:04,0,5
159,159,44848,2016-01-06 05:10:09,0,21
160,160,44531,2016-01-06 05:11:02,0,32
161,161,44531,2016-01-06 05:41:36,0,33
162,162,44262,2016-01-06 06:49:44,0,16
163,163,58448,2016-01-06 08:14:16,0,0
164,164,58344,2016-01-06 10:45:42,0,2
165,165,45004,2016-01-06 14:43:03,0,54
166,166,44262,2016-01-06 14:54:25,0,17
167,167,45004,2016-01-06 15:10:39,0,55
168,168,38238,2016-01-06 15:47:37,0,1
169,169,52683,2016-01-06 17:27:52,0,1
170,170,30072,2016-01-06 19:03:03,0,7
171,171,52642,2016-01-06 19:54:54,0,6
172,172,53490,2016-01-06 21:10:11,0,9
173,173,58493,2016-01-06 21:33:15,0,0
174,174,12220,2016-01-06 22:07:11,0,187
175,175,12220,2016-01-06 22:11:12,0,188
176,176,58437,2016-01-06 22:13:17,0,1
177,177,37170,2016-01-06 22:18:12,0,103
178,178,46676,2016-01-06 22:18:57,1,5
179,179,47010,2016-01-06 22:20:11,0,11
180,180,23712,2016-01-06 22:37:36,0,35
181,181,23712,2016-01-06 22:50:53,0,36
182,182,40492,2016-01-06 23:52:35,0,17
183,183,10745,2016-01-06 23:58:09,0,38
184,184,38000,2016-01-07 00:57:41,0,2
185,185,14128,2016-01-07 02:28:17,0,56
186,186,52419,2016-01-07 02:30:47,0,2
187,187,18016,2016-01-07 02:43:04,0,52
188,188,31818,2016-01-07 02:50:25,0,10
189,189,19383,2016-01-07 02:55:16,0,2
190,190,58500,2016-01-07 03:26:08,0,0
191,191,58500,2016-01-07 03:56:08,0,1
192,192,58060,2016-01-07 04:13:51,0,1
193,193,53484,2016-01-07 04:33:46,0,9
194,194,53484,2016-01-07 04:41:30,0,10
195,195,55286,2016-01-07 05:04:54,0,23
196,196,55286,2016-01-07 05:14:09,0,24
197,197,58500,2016-01-07 05:33:56,0,2
198,198,56584,2016-01-07 06:45:01,0,15
199,199,49328,2016-01-07 08:30:28,0,16
200,200,37170,2016-01-07 08:48:35,0,104
201,201,22229,2016-01-07 09:24:55,0,11
202,202,45004,2016-01-07 09:32:07,0,56
203,203,58529,2016-01-07 12:24:07,0,0
204,204,56257,2016-01-07 14:10:22,0,6
205,205,56403,2016-01-07 14:35:28,0,5
206,206,58437,2016-01-07 14:44:28,0,2
207,207,52642,2016-01-07 15:01:28,0,7
208,208,48870,2016-01-07 15:35:52,0,3
209,209,51899,2016-01-07 15:58:22,0,23
210,210,38473,2016-01-07 16:03:05,0,55
211,211,51899,2016-01-07 17:54:05,0,24
212,212,53490,2016-01-07 17:59:27,0,10
213,213,26729,2016-01-07 19:17:05,0,76
214,214,53734,2016-01-07 19:31:40,0,2
215,215,43045,2016-01-07 20:39:41,0,11
216,216,23318,2016-01-07 20:40:41,0,22
217,217,54981,2016-01-07 21:24:28,0,0
218,218,56608,2016-01-07 22:22:52,0,6
219,219,22871,2016-01-07 22:30:39,0,3
220,220,47288,2016-01-07 23:35:50,0,8
221,221,15551,2016-01-07 23:43:12,0,32
222,222,48645,2016-01-07 23:47:36,0,24
223,223,48645,2016-01-08 00:04:56,0,25
224,224,58561,2016-01-08 00:29:32,1,0
225,225,28203,2016-01-08 01:04:09,0,10
226,226,56584,2016-01-08 03:18:47,0,16
227,227,27411,2016-01-08 04:19:45,0,63
228,228,41905,2016-01-08 04:21:27,0,56
229,229,27411,2016-01-08 04:25:31,0,64
230,230,46676,2016-01-08 04:35:30,0,6
231,231,27411,2016-01-08 04:37:33,0,65
232,232,41905,2016-01-08 05:28:39,0,57
233,233,41905,2016-01-08 05:39:42,0,58
234,234,57584,2016-01-08 07:28:12,0,6
235,235,58566,2016-01-08 07:30:15,0,0
236,236,56608,2016-01-08 09:11:21,0,7
237,237,28717,2016-01-08 10:28:17,0,19
238,238,58578,2016-01-08 11:39:08,0,0
239,239,15551,2016-01-08 13:51:15,0,33
240,240,58591,2016-01-08 14:44:49,0,0
241,241,46603,2016-01-08 15:12:50,0,10
242,242,44010,2016-01-08 15:14:33,0,14
243,243,44262,2016-01-08 15:26:34,0,18
244,244,58598,2016-01-08 16:18:38,0,0
245,245,12007,2016-01-08 16:34:00,0,36
246,246,25063,2016-01-08 16:34:35,0,10
247,247,58606,2016-01-08 18:17:55,0,0
248,248,37660,2016-01-08 19:02:45,0,1
249,249,51917,2016-01-08 19:32:50,0,12
250,250,51917,2016-01-08 19:47:11,0,13
251,251,58609,2016-01-08 20:13:22,1,0
252,252,18789,2016-01-08 20:42:51,0,22
253,253,18789,2016-01-08 20:58:51,0,23
254,254,48459,2016-01-08 22:00:09,0,21
255,255,40576,2016-01-08 23:00:27,0,1
256,256,14800,2016-01-09 00:13:03,0,5
257,257,12607,2016-01-09 01:19:07,0,5
258,258,12505,2016-01-09 01:36:17,0,2
259,259,44531,2016-01-09 05:14:55,0,34
260,260,30072,2016-01-09 06:32:22,0,8
261,261,58619,2016-01-09 08:03:21,0,0
262,262,33853,2016-01-09 12:07:54,0,28
263,263,52642,2016-01-09 12:40:46,0,8
264,264,33853,2016-01-09 13:13:53,0,29
265,265,33853,2016-01-09 13:23:39,0,30
266,266,33853,2016-01-09 13:29:38,0,31
267,267,33853,2016-01-09 13:36:02,0,32
268,268,55557,2016-01-09 15:00:41,0,2
269,269,43114,2016-01-09 15:15:14,0,7
270,270,12607,2016-01-09 15:44:46,0,6
271,271,37073,2016-01-09 16:03:27,0,81
272,272,37073,2016-01-09 16:08:15,0,82
273,273,37073,2016-01-09 16:27:33,0,83
274,274,37073,2016-01-09 16:50:17,0,84
275,275,55958,2016-01-09 17:08:42,0,1
276,276,56608,2016-01-09 17:09:49,0,8
277,277,48645,2016-01-09 17:25:03,0,26
278,278,48645,2016-01-09 17:57:57,0,27
279,279,9948,2016-01-09 17:58:22,0,180
280,280,48645,2016-01-09 18:06:13,0,28
281,281,48645,2016-01-09 18:18:38,0,29
282,282,15551,2016-01-09 19:54:14,0,34
283,283,51362,2016-01-09 20:02:50,0,3
284,284,49914,2016-01-09 20:23:16,0,5
285,285,58660,2016-01-09 21:36:39,0,0
286,286,48459,2016-01-09 22:14:48,0,22
287,287,32052,2016-01-10 00:03:13,0,20
288,288,57568,2016-01-10 00:27:29,0,4
289,289,46261,2016-01-10 00:46:23,0,9
290,290,8164,2016-01-10 01:13:38,0,8
291,291,8164,2016-01-10 01:18:07,0,9
292,292,56584,2016-01-10 04:12:52,0,17
